N,seed,rho,f_elongated,s_max_norm,s_max_norm_2,classification,status
1000,184656659025018,0.4,0.906557142857143,0.0099,0.0107714285714285,0,unjammed
1000,1034686135547599,0.4,0.944257142857143,0.0041857142857142,0.0044714285714285,0,unjammed
1000,380972098894405,0.4,0.9496142857142856,0.0075857142857142,0.0078714285714285,0,unjammed
1000,742183958399040,0.4,0.9592714285714286,0.0047428571428571,0.0049428571428571,0,unjammed
1000,37852570490343,0.4,0.8866428571428572,0.0114,0.0126714285714285,0,unjammed
1000,734109262104827,0.4,0.9507285714285711,0.0048571428571428,0.0052,0,unjammed
1000,401686787590537,0.4,0.8898571428571428,0.0165428571428571,0.0174428571428571,0,unjammed
1000,350020380685320,0.4,0.9186,0.0046714285714285,0.0051714285714285,0,unjammed
1000,484612500106051,0.4,0.992142857142857,0.0009714285714285,0.0010571428571428,0,unjammed
1000,604884003999171,0.4,0.9569285714285712,0.0090285714285714,0.0094714285714285,0,unjammed
1000,501697692195937,0.4,0.9227857142857144,0.0061571428571428,0.0064428571428571,0,unjammed
1000,851083349436041,0.4,0.9387714285714284,0.0038571428571428,0.0042142857142857,0,unjammed
1000,796940938751527,0.4,0.9897571428571428,0.0008428571428571,0.0008428571428571,0,unjammed
1000,7713914261614,0.4,0.9884285714285715,0.0006285714285714,0.0006285714285714,0,unjammed
1000,1099062448631258,0.5,0.9436857142857143,0.0044571428571428,0.0047714285714285,0,unjammed
1000,853827592514924,0.5,0.7645428571428572,0.0352,0.0377571428571428,0,unjammed
1000,1052030010736714,0.5,0.8956999999999999,0.0127,0.0134,0,unjammed
1000,993068073743470,0.5,0.8417285714285715,0.0148,0.0156,0,unjammed
1000,375074238073900,0.5,0.9388285714285716,0.0018285714285714,0.0019142857142857,0,unjammed
1000,416178520884477,0.5,0.7857571428571428,0.0302714285714285,0.0322142857142857,0,unjammed
1000,874051135843279,0.5,0.9703285714285714,0.0006857142857142,0.0007571428571428,0,unjammed
1000,12944511869278,0.5,0.8186857142857145,0.0160142857142857,0.0170428571428571,0,unjammed
1000,542029227742456,0.5,0.8257142857142856,0.0148857142857142,0.0167,0,unjammed
1000,1011744331896734,0.5,0.9053714285714286,0.0060857142857142,0.0062714285714285,0,unjammed
1000,211701226972609,0.5,0.9986714285714288,0.0001714285714285,0.0001714285714285,0,unjammed
1000,292918525777755,0.5,0.9373,0.0040857142857142,0.0043714285714285,0,unjammed
1000,731147908347497,0.5,0.8655142857142856,0.0113714285714285,0.0127857142857142,0,unjammed
1000,985549376192247,0.5,0.8752857142857143,0.0112571428571428,0.0119714285714285,0,unjammed
1000,873456432950595,0.5,0.9379714285714286,0.0034571428571428,0.0038,0,unjammed
1000,422219896800918,0.5,0.8368428571428571,0.0191857142857142,0.0220142857142857,0,unjammed
1000,900740014674953,0.5,0.7898714285714287,0.0403714285714285,0.0446142857142857,0,unjammed
1000,1020578668480920,0.5,0.8543571428571427,0.0165142857142857,0.0174428571428571,0,unjammed
1000,343569160877337,0.5,0.9775714285714284,0.0005428571428571,0.0005428571428571,0,unjammed
1000,78804909138230,0.5,0.8377428571428572,0.0206285714285714,0.0226571428571428,0,unjammed
1000,333614425743970,0.5,0.9962000000000004,8.571428571428571e-05,8.571428571428571e-05,0,unjammed
1000,974443487743328,0.5,0.9234714285714288,0.0032714285714285,0.0037857142857142,0,unjammed
1000,703985244396274,0.5,0.8777714285714286,0.0159857142857142,0.0177285714285714,0,unjammed
